Species	Reliance	Resources	Sensitivity	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24	R25	R26	R27	R28
1	3	14	42	0	1	1	0	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0
2	3	10	30	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0
3	1	11	11	1	1	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1
4	1	14	14	0	1	0	0	0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	1	1	0	0	1
5	1	15	15	0	1	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	0	1	1
6	3	6	18	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
7	2	8	16	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0
8	2	9	18	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0
9	1	9	9	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0
10	1	7	7	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0
11	1	10	10	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0
12	1	9	9	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0
13	1	9	9	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0
14	1	14	14	0	1	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	0	1	0
15	1	11	11	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	1	0	0	1	1	0	0	0	1
16	1	14	14	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1	0	1	1
17	3	8	24	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1
18	2	18	36	0	1	1	1	0	0	0	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	1
